ward_id,population,facility_count,dist_to_nearest_phc_km,historical_case_rate,cases_lag_1w,seasonal_index,rainfall_anomaly,pop_density,pop_density_norm
119,23472.0,0,6.417515254163574,13,24,1.7678934296680966,64.77499999999998,23472.0,0.16342444961218722
7,22161.0,0,1.3685978253630149,13,24,1.7678934296680966,64.77499999999998,22161.0,0.15429657582888892
26,20239.0,1,1.3379986990670785,13,24,1.7678934296680966,64.77499999999998,20239.0,0.1409145976355256
174,29813.774193548383,0,7.277945339326511,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
132,41733.0,0,2.9194551372889723,13,24,1.7678934296680966,64.77499999999998,41733.0,0.29056716750449085
37,26491.0,0,0.8964950129864964,13,24,1.7678934296680966,64.77499999999998,26491.0,0.18444432066617464
70,26313.0,0,1.3466686348475063,13,24,1.7678934296680966,64.77499999999998,26313.0,0.1832049907398382
101,12703.0,0,4.337058815897919,13,24,1.7678934296680966,64.77499999999998,12703.0,0.08844498906883155
60,29821.0,0,2.7467622596917294,13,24,1.7678934296680966,64.77499999999998,29821.0,0.20762953782741286
16,22947.0,1,1.193308060611476,13,24,1.7678934296680966,64.77499999999998,22947.0,0.15976912258226225
200,29813.774193548383,0,21.031193998646152,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
86,16185.0,0,5.478843856752496,13,24,1.7678934296680966,64.77499999999998,16185.0,0.11268851043682898
147,17881.0,0,2.246436071166876,13,24,1.7678934296680966,64.77499999999998,17881.0,0.12449695737540557
157,29813.774193548383,0,4.954332086402953,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
0,29813.774193548383,0,5.409732677660344,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
189,29813.774193548383,0,12.474307780240531,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
17,24670.0,0,3.554313719952356,13,24,1.7678934296680966,64.77499999999998,24670.0,0.17176555776809213
19,15457.0,0,2.223725757158051,13,24,1.7678934296680966,64.77499999999998,15457.0,0.1076197902886664
20,13276.0,0,0.7247874914467529,13,24,1.7678934296680966,64.77499999999998,13276.0,0.09243451742720678
21,16044.0,1,1.432678313194302,13,24,1.7678934296680966,64.77499999999998,16044.0,0.11170679403450628
18,16424.0,0,1.937536190168146,13,24,1.7678934296680966,64.77499999999998,16424.0,0.11435255455140435
15,19952.0,0,2.314226660447868,13,24,1.7678934296680966,64.77499999999998,19952.0,0.13891635219249995
1,51163.0,0,1.376872238424401,13,24,1.7678934296680966,64.77499999999998,51163.0,0.35622380348961885
2,66897.0,1,0.2379491525082541,13,24,1.7678934296680966,64.77499999999998,66897.0,0.46577221394455043
3,52995.0,0,1.4246153561920354,13,24,1.7678934296680966,64.77499999999998,52995.0,0.3689791541921379
4,15186.0,2,0.3399972035684093,13,24,1.7678934296680966,64.77499999999998,15186.0,0.10573294528845752
6,19523.0,0,0.5933911869284823,13,24,1.7678934296680966,64.77499999999998,19523.0,0.1359294278194756
5,45204.0,1,1.0940483407928745,13,24,1.7678934296680966,64.77499999999998,45204.0,0.3147341010680517
8,33039.0,0,0.3566563125354578,13,24,1.7678934296680966,64.77499999999998,33039.0,0.23003495188893375
9,20306.0,0,0.6714707865919444,13,24,1.7678934296680966,64.77499999999998,20306.0,0.1413810869898208
10,44747.0,0,0.9148563679967346,13,24,1.7678934296680966,64.77499999999998,44747.0,0.311552225920098
11,33287.0,0,1.0078376084237597,13,24,1.7678934296680966,64.77499999999998,33287.0,0.23176165875259355
12,16254.0,1,0.2050897927078277,13,24,1.7678934296680966,64.77499999999998,16254.0,0.11316892484647627
13,21829.0,1,0.0311570735986526,13,24,1.7678934296680966,64.77499999999998,21829.0,0.15198501664044115
14,35130.0,0,0.8461745044977478,13,24,1.7678934296680966,64.77499999999998,35130.0,0.2445935972595491
22,26177.0,1,0.4470634803755545,13,24,1.7678934296680966,64.77499999999998,26177.0,0.18225808697589574
23,18434.0,0,0.6382202030415806,13,24,1.7678934296680966,64.77499999999998,18434.0,0.12834723518025984
32,32269.0,1,0.3611566783383049,13,24,1.7678934296680966,64.77499999999998,32269.0,0.22467380557837718
24,21002.0,0,2.2903219797023504,13,24,1.7678934296680966,64.77499999999998,21002.0,0.14622700625234986
25,19261.0,0,1.725443565633835,13,24,1.7678934296680966,64.77499999999998,19261.0,0.13410524556835113
29,19415.0,0,1.093584738200481,13,24,1.7678934296680966,64.77499999999998,19415.0,0.13517747483046244
28,26156.0,0,1.3471740159391,13,24,1.7678934296680966,64.77499999999998,26156.0,0.18211187389469874
27,24426.0,0,1.4092452720793849,13,24,1.7678934296680966,64.77499999999998,24426.0,0.17006670101513655
30,25286.0,0,0.5269199538387493,13,24,1.7678934296680966,64.77499999999998,25286.0,0.1760544748165374
33,41617.0,0,0.8083677387756055,13,24,1.7678934296680966,64.77499999999998,41617.0,0.2897595142940693
31,32152.0,0,1.0726280331302651,13,24,1.7678934296680966,64.77499999999998,32152.0,0.2238591898402796
34,49559.0,0,1.006419048139663,13,24,1.7678934296680966,64.77499999999998,49559.0,0.34505590909723866
35,40075.0,3,0.5197236883599458,13,24,1.7678934296680966,64.77499999999998,40075.0,0.27902329661760406
44,14291.0,0,0.7607006299498948,13,24,1.7678934296680966,64.77499999999998,14291.0,0.099501483018395
45,17871.0,0,0.887750384853626,13,24,1.7678934296680966,64.77499999999998,17871.0,0.1244273320986451
36,52262.0,2,0.4656580621499282,13,24,1.7678934296680966,64.77499999999998,52262.0,0.3638756214055951
46,12747.0,1,0.3753200435428646,13,24,1.7678934296680966,64.77499999999998,12747.0,0.08875134028657763
47,14379.0,1,0.3088209338772479,13,24,1.7678934296680966,64.77499999999998,14379.0,0.10011418545388717
48,18269.0,0,0.515138942477258,13,24,1.7678934296680966,64.77499999999998,18269.0,0.127198418113712
42,27857.0,0,0.585401146151445,13,24,1.7678934296680966,64.77499999999998,27857.0,0.19395513347165555
43,15835.0,4,0.1813506135341792,13,24,1.7678934296680966,64.77499999999998,15835.0,0.11025162575021236
39,30573.0,1,0.3741111837727839,13,24,1.7678934296680966,64.77499999999998,30573.0,0.2128653586398006
40,51479.0,0,0.6702898152859699,13,24,1.7678934296680966,64.77499999999998,51479.0,0.35842396223524986
