WARD_ID,NEAREST_FACILITY_KM,FACILITY_COUNT_2KM
119,6.417515254163574,0
7,1.3685978253630147,10
26,1.3379986990670785,5
174,7.277945339326511,0
132,2.9194551372889723,0
37,0.8964950129864964,17
70,1.3466686348475065,9
101,4.337058815897919,0
60,2.7467622596917294,3
16,1.1933080606114759,4
200,21.031193998646152,0
86,5.478843856752496,0
147,2.2464360711668756,1
157,4.954332086402953,0
0,5.409732677660344,0
189,12.474307780240531,0
17,3.5543137199523556,2
19,2.223725757158051,2
20,0.7247874914467529,1
21,1.432678313194302,2
18,1.937536190168146,3
15,2.3142266604478676,3
1,1.376872238424401,1
2,0.23794915250825416,1
3,1.4246153561920354,3
4,0.3399972035684093,3
6,0.5933911869284823,3
5,1.0940483407928743,4
8,0.3566563125354578,3
9,0.6714707865919444,4
10,0.9148563679967346,5
11,1.0078376084237595,4
12,0.20508979270782776,4
13,0.031157073598652628,5
14,0.8461745044977478,5
22,0.4470634803755545,2
23,0.6382202030415806,2
32,0.36115667833830495,1
24,2.2903219797023504,2
25,1.725443565633835,3
29,1.093584738200481,4
28,1.3471740159391,5
27,1.4092452720793847,3
30,0.5269199538387493,3
33,0.8083677387756055,8
31,1.0726280331302651,8
34,1.006419048139663,8
35,0.5197236883599458,8
44,0.7607006299498948,7
45,0.887750384853626,8
36,0.4656580621499282,9
46,0.37532004354286463,10
47,0.30882093387724796,13
48,0.515138942477258,11
42,0.585401146151445,12
43,0.1813506135341792,10
39,0.37411118377278396,9
40,0.6702898152859699,11
41,0.5355248223430976,14
38,0.8253778111402429,15
64,1.1985920120413303,2
65,1.569025777273426,2
67,1.457838546611016,3
68,0.760719127853915,6
66,0.7718277875731253,4
77,1.2324614132997067,3
73,1.8387999656658491,5
71,2.2041404842876675,2
69,1.7454790737179386,6
72,0.8586664217174929,5
74,3.2206158488675465,0
75,2.66644310650736,0
78,2.0561153348895687,2
76,1.9381925440229877,2
53,0.2782438624091092,10
51,0.35179121421044984,11
49,0.3633794984158242,10
50,0.6665064300013264,9
54,0.632213063616483,5
55,0.9989077038691071,5
56,1.4295017496414328,5
52,0.9111815067472795,11
57,1.456780781494902,2
61,3.923611989861281,0
58,2.356896753138992,1
63,4.356827961226451,0
62,3.309710621261585,0
59,2.8284917595695735,1
94,2.709061130716824,1
100,4.326632890997492,0
99,3.9783712001998253,0
95,3.5881814546950133,0
96,2.379453312515946,1
97,3.2128202571177633,0
105,2.8455655139788516,1
104,3.5710261476527934,0
107,5.162987778001782,0
98,3.6651985361421775,0
103,4.485655945045968,0
102,4.503945837918899,0
108,3.1114007292958825,0
106,3.9731455479279325,0
109,4.066300719586751,0
112,3.7236226152982597,0
110,5.142005038161745,0
111,5.321799405427285,0
114,4.651563597475162,0
116,5.478151189266661,0
115,5.39478413254228,0
113,5.7120731116830585,0
117,5.59362266194144,0
122,6.706494783199341,0
126,8.594540331121982,0
124,7.748037306542442,0
125,7.536220821717305,0
123,7.5680180351280795,0
118,6.807440831513006,0
120,6.052546768793084,0
121,6.6746049373589855,0
79,6.289420051609194,0
80,5.485960386419685,0
83,2.655242605144654,1
81,6.589910026542922,0
82,4.358710457775092,0
85,6.80147288510778,0
84,4.481031307573475,0
93,2.760721669758158,0
90,3.5137872220180055,0
91,3.812709262809409,0
92,3.4335931594031677,0
88,4.469813582385992,0
87,4.653978511303939,0
89,4.0604877230973795,0
192,13.540977090343375,0
193,13.124975797464666,0
194,13.922780128826895,0
195,14.90651501779393,0
196,15.94237338990247,0
197,16.95651330050094,0
198,18.946117090969757,0
199,21.265380909627428,0
191,15.157248312043388,0
183,11.282869530709734,0
185,12.298295227770543,0
184,10.565288582306534,0
186,11.785413558884242,0
187,10.10483214104134,0
169,9.279652581149925,0
168,8.405280865720039,0
190,14.470365177048127,0
188,10.974759824219317,0
179,9.223755021049467,0
182,11.123097528480084,0
181,10.519743241488344,0
176,9.805908074465785,0
173,8.919078206911793,0
170,4.498909834459781,0
171,5.995946684395832,0
175,8.71555925306733,0
180,9.56074677217071,0
172,7.426134070037842,0
177,7.744107218924531,0
178,8.91431504052982,0
160,5.729402294861722,0
161,6.479583688214213,0
165,7.920559574129135,0
159,7.132554082237711,0
156,4.9148928647884516,0
158,4.256108389857639,0
167,8.558041705164722,0
166,8.422811600427739,0
164,7.560716554081975,0
162,6.8644053520453365,0
163,7.09674038793033,0
150,4.439994467388031,0
153,4.63986686066322,0
149,1.4913532202223367,1
152,1.952958774110682,1
155,2.6178675072825923,1
154,3.1373944960651428,0
151,3.4491876476010894,0
146,2.894866712323213,0
143,3.3481039062714717,0
145,1.4511052914147375,1
144,1.996246578459935,1
148,0.8906747999041126,1
127,1.7218871757373484,1
136,5.003747857890623,0
128,0.7456021407683071,1
129,1.4051615615088846,1
138,2.826356672552122,0
137,2.0199237681968194,1
142,4.790393098354617,0
139,3.879201092893507,0
140,4.289463294588644,0
141,5.091445638600035,0
134,3.7899544991916314,0
135,3.9278526906271276,0
133,3.234804360224559,0
131,1.9488250491056187,1
130,2.3799717523065755,1
