ward_id,dist_to_nearest_phc_km
0,5.409732677660344
1,1.376872238424401
2,0.23794915250825416
3,1.4246153561920354
4,0.3399972035684093
5,1.0940483407928743
6,0.5933911869284823
7,1.3685978253630147
8,0.3566563125354578
9,0.6714707865919444
10,0.9148563679967346
11,1.0078376084237595
12,0.20508979270782776
13,0.031157073598652628
14,0.8461745044977478
15,2.3142266604478676
16,1.1933080606114759
17,3.5543137199523556
18,1.937536190168146
19,2.223725757158051
20,0.7247874914467529
21,1.432678313194302
22,0.4470634803755545
23,0.6382202030415806
24,2.2903219797023504
25,1.725443565633835
26,1.3379986990670785
27,1.4092452720793847
28,1.3471740159391
29,1.093584738200481
30,0.5269199538387493
31,1.0726280331302651
32,0.36115667833830495
33,0.8083677387756055
34,1.006419048139663
35,0.5197236883599458
36,0.4656580621499282
37,0.8964950129864964
38,0.8253778111402429
39,0.37411118377278396
40,0.6702898152859699
41,0.5355248223430976
42,0.585401146151445
43,0.1813506135341792
44,0.7607006299498948
45,0.887750384853626
46,0.37532004354286463
47,0.30882093387724796
48,0.515138942477258
49,0.3633794984158242
50,0.6665064300013264
51,0.35179121421044984
52,0.9111815067472795
53,0.2782438624091092
54,0.632213063616483
55,0.9989077038691071
56,1.4295017496414328
57,1.456780781494902
58,2.356896753138992
59,2.8284917595695735
60,2.7467622596917294
61,3.923611989861281
62,3.309710621261585
63,4.356827961226451
64,1.1985920120413303
65,1.569025777273426
66,0.7718277875731253
67,1.457838546611016
68,0.760719127853915
69,1.7454790737179386
70,1.3466686348475065
71,2.2041404842876675
72,0.8586664217174929
73,1.8387999656658491
74,3.2206158488675465
75,2.66644310650736
76,1.9381925440229877
77,1.2324614132997067
78,2.0561153348895687
79,6.289420051609194
80,5.485960386419685
81,6.589910026542922
82,4.358710457775092
83,2.655242605144654
84,4.481031307573475
85,6.80147288510778
86,5.478843856752496
87,4.653978511303939
88,4.469813582385992
89,4.0604877230973795
90,3.5137872220180055
91,3.812709262809409
92,3.4335931594031677
93,2.760721669758158
94,2.709061130716824
95,3.5881814546950133
96,2.379453312515946
97,3.2128202571177633
98,3.6651985361421775
99,3.9783712001998253
100,4.326632890997492
101,4.337058815897919
102,4.503945837918899
103,4.485655945045968
104,3.5710261476527934
105,2.8455655139788516
106,3.9731455479279325
107,5.162987778001782
108,3.1114007292958825
109,4.066300719586751
110,5.142005038161745
111,5.321799405427285
112,3.7236226152982597
113,5.7120731116830585
114,4.651563597475162
115,5.39478413254228
116,5.478151189266661
117,5.59362266194144
118,6.807440831513006
119,6.417515254163574
120,6.052546768793084
121,6.6746049373589855
122,6.706494783199341
123,7.5680180351280795
124,7.748037306542442
125,7.536220821717305
126,8.594540331121982
127,1.7218871757373484
128,0.7456021407683071
129,1.4051615615088846
130,2.3799717523065755
131,1.9488250491056187
132,2.9194551372889723
133,3.234804360224559
134,3.7899544991916314
135,3.9278526906271276
136,5.003747857890623
137,2.0199237681968194
138,2.826356672552122
139,3.879201092893507
140,4.289463294588644
141,5.091445638600035
142,4.790393098354617
143,3.3481039062714717
144,1.996246578459935
145,1.4511052914147375
146,2.894866712323213
147,2.2464360711668756
148,0.8906747999041126
149,1.4913532202223367
150,4.439994467388031
151,3.4491876476010894
152,1.952958774110682
153,4.63986686066322
154,3.1373944960651428
155,2.6178675072825923
156,4.9148928647884516
157,4.954332086402953
158,4.256108389857639
159,7.132554082237711
160,5.729402294861722
161,6.479583688214213
162,6.8644053520453365
163,7.09674038793033
164,7.560716554081975
165,7.920559574129135
166,8.422811600427739
167,8.558041705164722
168,8.405280865720039
169,9.279652581149925
170,4.498909834459781
171,5.995946684395832
172,7.426134070037842
173,8.919078206911793
174,7.277945339326511
175,8.71555925306733
176,9.805908074465785
177,7.744107218924531
178,8.91431504052982
179,9.223755021049467
180,9.56074677217071
181,10.519743241488344
182,11.123097528480084
183,11.282869530709734
184,10.565288582306534
185,12.298295227770543
186,11.785413558884242
187,10.10483214104134
188,10.974759824219317
189,12.474307780240531
190,14.470365177048127
191,15.157248312043388
192,13.540977090343375
193,13.124975797464666
194,13.922780128826895
195,14.90651501779393
196,15.94237338990247
197,16.95651330050094
198,18.946117090969757
199,21.265380909627428
200,21.031193998646152
