WARD_ID,WARD_AREA_KM2,POPULATION,NEAREST_FACILITY_KM,FACILITY_COUNT_2KM,DATA_AVAILABILITY,POPULATION_DENSITY,ACCESS_GAP,FACILITY_DEFICIT,RISK_SCORE,TOP_RISK_DRIVER,SHAP_POPULATION_DENSITY,SHAP_NEAREST_FACILITY_KM,SHAP_FACILITY_COUNT_2KM,SHAP_ACCESS_GAP,SHAP_FACILITY_DEFICIT
154,1.023615636627911,53855.0,0.1462844814320945,0.0,VALIDATED,0.2875800237164632,0.2854611535936092,1.0,0.4981333,FACILITY_COUNT_2KM,0.04123942,0.0013202307,0.09663405,0.051061444,0.09521687
151,1.4716510514454526,34509.0,0.1609680014864944,0.0,VALIDATED,0.1217410597894298,0.1384917282560967,1.0,0.3937659,FACILITY_DEFICIT,-0.0049295425,0.00056831096,0.08731914,0.0058214744,0.09232529
146,1.2938843468073649,17539.0,0.1348629298079459,0.0,VALIDATED,0.065479056958353,0.0657979049244027,1.0,0.34391773,FACILITY_DEFICIT,-0.02208693,0.00050182635,0.08966255,-0.029938256,0.09311741
143,2.597599783997109,20124.0,0.1562075853719151,0.0,VALIDATED,0.0324506659673331,0.042574627331349,1.0,0.32503274,FACILITY_COUNT_2KM,-0.03037151,0.00050182635,0.092965454,-0.0428962,0.092172116
145,1.804652486872756,24508.0,0.0668707379549618,0.0588235294117647,VALIDATED,0.0656220544657484,0.0316956365097501,0.0,0.035310715,FACILITY_COUNT_2KM,-0.018290484,-0.0010482405,-0.069089755,-0.022378646,-0.06654348
144,1.1182057682840945,21231.0,0.09254350524115,0.0588235294117647,VALIDATED,0.0963647751085191,0.0634607622617129,0.0,0.050473716,FACILITY_COUNT_2KM,-0.011974908,-0.00093169644,-0.06962688,-0.012601976,-0.067052156
148,0.9188603950655267,17914.0,0.0404779441406796,0.0588235294117647,VALIDATED,0.0992604947942776,0.0276067247733001,0.0,0.040537465,FACILITY_COUNT_2KM,-0.010897488,-0.00074407196,-0.06928311,-0.024655718,-0.06654348
127,3.749646779878391,24606.0,0.0796228821545142,0.0588235294117647,VALIDATED,0.0257124759662927,0.0170184116375588,0.0,0.015071895,FACILITY_COUNT_2KM,-0.030295635,-0.0009679505,-0.0697763,-0.028414285,-0.068135254
136,1.8747514402213517,33270.0,0.2341781278510787,0.0,VALIDATED,0.0893116626090191,0.152314231707896,1.0,0.38886538,FACILITY_DEFICIT,-0.014225857,0.0005736013,0.08568615,0.009091074,0.095079236
128,1.983702023794452,58003.0,0.0336459233304978,0.0588235294117647,VALIDATED,0.1546696298703671,0.0353522903433744,0.1379756219505889,0.10001163,FACILITY_COUNT_2KM,0.008448389,-0.00074407196,-0.06750493,-0.024714796,-0.02813427
129,1.836308494280784,59322.0,0.0647070737560426,0.0588235294117647,VALIDATED,0.1721003678843089,0.0765396370852508,0.1571423755099288,0.13438922,FACILITY_COUNT_2KM,0.0031312427,-0.0013089294,-0.065611504,0.0075117913,-0.021994693
